image_id,model,min_ssim_value,min_row,min_col,total_rows,total_cols,distance_to_boundary,normalized_distance,is_boundary
00000001_002,model1_TAA_standard,0.1035,127,13,128,128,0,0.0,True
00000003_001,model1_TAA_standard,0.0323,127,1,128,128,0,0.0,True
00000003_002,model1_TAA_standard,0.0649,81,127,128,128,0,0.0,True
00000003_003,model1_TAA_standard,0.0343,77,127,128,128,0,0.0,True
00000003_004,model1_TAA_standard,0.1049,36,0,128,128,0,0.0,True
00000004_000,model1_TAA_standard,0.0716,0,67,128,128,0,0.0,True
00000005_000,model1_TAA_standard,0.0877,96,127,128,128,0,0.0,True
00000005_001,model1_TAA_standard,0.0895,41,0,128,128,0,0.0,True
00000005_005,model1_TAA_standard,0.0282,40,127,128,128,0,0.0,True
00000005_007,model1_TAA_standard,0.0458,2,7,128,128,2,0.03125,True
00000006_000,model1_TAA_standard,0.0875,42,0,128,128,0,0.0,True
00000007_000,model1_TAA_standard,0.0979,0,70,128,128,0,0.0,True
00000010_000,model1_TAA_standard,0.0132,1,120,128,128,1,0.015625,True
00000011_001,model1_TAA_standard,0.1059,67,127,128,128,0,0.0,True
00000011_003,model1_TAA_standard,0.0892,44,127,128,128,0,0.0,True
00000011_004,model1_TAA_standard,0.0977,36,127,128,128,0,0.0,True
00000013_007,model1_TAA_standard,0.0333,8,23,128,128,8,0.125,True
00000013_018,model1_TAA_standard,-0.1291,2,15,128,128,2,0.03125,True
00000013_032,model1_TAA_standard,0.0824,0,78,128,128,0,0.0,True
00000015_000,model1_TAA_standard,0.1054,127,32,128,128,0,0.0,True
00000017_000,model1_TAA_standard,0.0927,35,0,128,128,0,0.0,True
00000018_000,model1_TAA_standard,0.079,0,50,128,128,0,0.0,True
00000019_000,model1_TAA_standard,0.0684,0,1,128,128,0,0.0,True
00000020_000,model1_TAA_standard,0.0403,1,125,128,128,1,0.015625,True
00000020_002,model1_TAA_standard,-0.0432,44,127,128,128,0,0.0,True
00000021_000,model1_TAA_standard,0.096,49,0,128,128,0,0.0,True
00000023_002,model1_TAA_standard,0.0893,37,127,128,128,0,0.0,True
00000023_003,model1_TAA_standard,0.0749,78,127,128,128,0,0.0,True
00000023_004,model1_TAA_standard,0.0942,57,0,128,128,0,0.0,True
00000024_000,model1_TAA_standard,0.0741,57,0,128,128,0,0.0,True
00000027_000,model1_TAA_standard,0.08,1,1,128,128,1,0.015625,True
00000028_000,model1_TAA_standard,0.0694,22,127,128,128,0,0.0,True
00000030_001,model1_TAA_standard,0.0687,57,127,128,128,0,0.0,True
