image_id,model,original_path,upscaled_path,original_width,original_height,original_format,upscaled_width,upscaled_height,upscaled_format,ssim,ms_ssim,psnr,lpips,sharpness,sharpness_diff_pct,contrast,contrast_diff_pct,entropy,noise,edge_density,edge_diff_pct,artifact_block,artifact_ringing,artifact_total,delta_e,high_freq_ratio,texture_complexity,local_quality_mean,local_quality_std,local_quality_min,histogram_corr,lab_L_mean,total_score,detection_count,detected_patterns,confidence_level
00000001_000,model1_TAA_standard,E:\Analysis\images_base\00000001_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000001_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9395,0.9894,38.43,0.2703,0.43,-67.5,67.13,-0.4,7.834,2.38,0.13,67.9,282.58,45.15,327.73,1.06,0.3220852505099652,5.020864382386208,0.938,0.0508,0.3224,0.6377,133.6721773147583,58.3,1,P9:MS-SSIM低×SSIM低,Low
00000001_001,model1_TAA_standard,E:\Analysis\images_base\00000001_001.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000001_001_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9421,0.9904,37.7,0.2479,0.58,-58.6,64.83,-0.8,7.846,2.44,0.31,79.0,294.7,53.77,348.47,1.08,0.318870261270614,5.292928833514452,0.9402,0.0567,0.1951,0.6426,131.78107357025146,58.3,0,None,Normal
00000001_002,model1_TAA_standard,E:\Analysis\images_base\00000001_002.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000001_002_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9691,0.9923,34.69,0.0988,0.76,-83.9,69.26,1.3,7.567,2.06,0.26,-47.0,214.18,65.7,279.88,1.14,0.3166749361656741,3.538985699415207,0.9546,0.1212,0.1035,0.3965,172.7643404006958,56.2,5,"P6:品質ばらつき大, 単独:Low PSNR, 単独:Low HistCorr, 単独:High DeltaE, 単独:High LocalQualityStd",High
00000002_000,model1_TAA_standard,E:\Analysis\images_base\00000002_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000002_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9728,0.9908,37.99,0.1418,0.27,-53.3,48.29,0.8,7.385,2.24,0.07,20.3,242.13,47.2,289.33,1.05,0.3157537136339837,3.8908534683287135,0.9716,0.0235,0.5317,0.8467,186.790472984314,53.3,2,"単独:Low Sharpness, 単独:Low EdgeDensity",Low
00000003_000,model1_TAA_standard,E:\Analysis\images_base\00000003_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000003_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9493,0.9901,38.25,0.2337,0.97,-53.9,72.13,-0.5,7.852,2.41,0.36,-12.5,293.9,58.45,352.35,1.04,0.3654791212617908,5.027466528117657,0.948,0.0352,0.194,0.8511,130.55782222747803,59.0,0,None,Normal
00000003_001,model1_TAA_standard,E:\Analysis\images_base\00000003_001.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000003_001_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9767,0.9929,35.22,0.12,0.63,-88.0,66.66,0.1,7.65,2.3,0.32,-38.4,257.65,59.34,316.99,1.08,0.3119562048304954,4.419760387390852,0.9624,0.1018,0.0323,0.8019,165.01122760772705,57.1,2,"P1:SSIM高×PSNR低, P6:品質ばらつき大",Low
00000003_002,model1_TAA_standard,E:\Analysis\images_base\00000003_002.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000003_002_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9727,0.9928,35.2,0.0978,2.16,-63.6,80.89,0.5,7.492,2.37,0.76,2.8,374.35,85.16,459.51,1.1,0.3060839363347588,5.267303958535194,0.9634,0.0769,0.0649,0.8509,146.77047729492188,59.8,2,"P4:Artifacts高, 単独:High Artifacts",Low
00000003_003,model1_TAA_standard,E:\Analysis\images_base\00000003_003.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000003_003_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9452,0.9895,37.29,0.2442,1.23,-61.7,67.62,-0.5,7.779,2.46,0.37,10.8,262.53,66.9,329.42999999999995,1.05,0.3634060659342417,4.741931799799204,0.9445,0.0388,0.0343,0.9203,144.61840534210205,57.9,0,None,Normal
00000003_004,model1_TAA_standard,E:\Analysis\images_base\00000003_004.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000003_004_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9788,0.9921,34.86,0.1042,0.93,-79.7,62.67,0.6,7.57,2.14,0.46,-19.9,230.91,78.79,309.7,1.21,0.3253639374914231,4.2524301912635565,0.9685,0.084,0.1049,0.4179,174.0646629333496,56.2,3,"P1:SSIM高×PSNR低, 単独:Low PSNR, 単独:High DeltaE",Medium
00000003_005,model1_TAA_standard,E:\Analysis\images_base\00000003_005.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000003_005_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.946,0.9904,38.77,0.2265,0.58,-70.6,69.24,-0.5,7.771,2.07,0.18,-23.7,243.87,58.71,302.58,1.01,0.350781656623144,4.1437289491295815,0.9428,0.0549,0.1789,0.6908,132.2810297012329,57.3,0,None,Normal
00000003_006,model1_TAA_standard,E:\Analysis\images_base\00000003_006.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000003_006_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9259,0.9906,37.45,0.1992,1.14,-24.9,75.93,0.1,7.511,2.3,0.45,25.5,292.85,59.48,352.33000000000004,1.04,0.379427737512788,4.878366328775883,0.9238,0.0919,0.2381,0.239,113.21583080291748,58.8,5,"P6:品質ばらつき大, P8:Contrast異常×Hist相関低, 単独:Low SSIM, 単独:Low LocalQuality, 単独:Low HistCorr",High
00000003_007,model1_TAA_standard,E:\Analysis\images_base\00000003_007.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000003_007_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9403,0.989,36.01,0.2603,1.4,-44.2,70.2,-0.3,7.807,2.89,0.61,19.3,310.57,67.17,377.74,1.13,0.3767825924779681,5.214332425966859,0.9378,0.048,0.1865,0.7708,138.3187131881714,58.9,4,"P9:MS-SSIM低×SSIM低, 単独:Low MS-SSIM, 単独:High Noise, 単独:High DeltaE",Medium
00000004_000,model1_TAA_standard,E:\Analysis\images_base\00000004_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000004_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9798,0.9936,34.87,0.1112,2.68,-64.1,51.46,-1.1,7.073,2.38,0.64,-35.4,235.94,68.46,304.4,0.96,0.4520631850315521,3.747524684295058,0.9686,0.0862,0.0716,0.9735,165.007248878479,53.1,4,"P1:SSIM高×PSNR低, P7:Entropy低×高周波高, 単独:Low PSNR, 単独:Low Entropy",Medium
00000005_000,model1_TAA_standard,E:\Analysis\images_base\00000005_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000005_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9777,0.9924,34.78,0.1058,1.0,-82.2,61.82,0.2,7.615,2.37,0.27,-62.6,237.0,59.54,296.54,1.05,0.312383793197363,4.013022612780333,0.9647,0.0977,0.0877,0.7402,176.149489402771,55.8,3,"P1:SSIM高×PSNR低, P6:品質ばらつき大, 単独:Low PSNR",Medium
